"id","organization_id","student_id","eventdate","care_type","entrytime","exittime","breaktime","worktime","status","comment","created_at","updated_at","deleted_at"
103,1,44,2022-04-23,,"12:22:16",,,,"1",,2022-04-23 12:22:16.000,2022-04-23 12:22:16.000,
104,1,39,2022-04-23,,"12:54:25","14:01:36",,,"1",,2022-04-23 12:54:25.000,2022-04-23 14:01:36.000,
105,1,32,2022-04-23,,"15:54:06","16:39:37",,,"1",,2022-04-23 15:54:06.000,2022-04-23 16:39:37.000,
106,1,47,2022-04-25,,"10:18:06","13:40:54",,,"1",,2022-04-25 10:18:06.000,2022-04-25 13:40:54.000,
107,1,47,2022-04-26,,"13:23:09",,,,"1",,2022-04-26 13:23:09.000,2022-04-26 13:23:09.000,
108,1,19,2022-04-27,,"16:10:00","17:12:01",,,"1",,2022-04-27 16:14:00.000,2022-04-27 17:12:01.000,
109,1,3,2022-04-28,,"15:52:54","16:43:56",,,"1",,2022-04-28 15:52:54.000,2022-04-28 16:43:56.000,
110,1,9,2022-04-28,,"16:59:32","17:41:17",,,"1",,2022-04-28 16:59:32.000,2022-04-28 17:41:17.000,
111,1,4,2022-05-09,,"16:47:10","17:31:10",,,"1",,2022-05-09 16:47:10.000,2022-05-09 17:31:10.000,
112,1,2,2022-05-09,,"16:55:47","17:37:06",,,"1",,2022-05-09 16:55:47.000,2022-05-09 17:37:06.000,
113,1,7,2022-05-09,,"16:55:56","17:37:04",,,"1",,2022-05-09 16:55:56.000,2022-05-09 17:37:04.000,
114,1,15,2022-05-09,,"16:57:03","17:32:20",,,"1",,2022-05-09 16:57:03.000,2022-05-09 17:32:20.000,
115,1,11,2022-05-09,,"17:57:26","18:43:30",,,"1",,2022-05-09 17:57:26.000,2022-05-09 18:43:30.000,
116,1,12,2022-05-09,,"17:58:19","18:43:42",,,"1",,2022-05-09 17:58:19.000,2022-05-09 18:43:42.000,
117,1,19,2022-05-11,,"15:55:10","17:10:01",,,"1",,2022-05-11 15:40:54.000,2022-05-11 17:10:01.000,
118,1,31,2022-05-11,,"17:54:30","18:40:31",,,"1",,2022-05-11 17:54:30.000,2022-05-11 18:40:31.000,
119,1,3,2022-05-12,,"15:55:32","16:38:14",,,"1",,2022-05-12 15:55:32.000,2022-05-12 16:38:14.000,
120,1,9,2022-05-12,,"16:59:17","17:44:03",,,"1",,2022-05-12 16:59:17.000,2022-05-12 17:44:03.000,
121,1,10,2022-05-12,,"17:58:27","18:41:02",,,"1",,2022-05-12 17:58:27.000,2022-05-12 18:41:02.000,
122,1,16,2022-05-13,,"16:52:52","17:39:24",,,"1",,2022-05-13 16:52:52.000,2022-05-13 17:39:24.000,
123,1,17,2022-05-13,,"16:52:11","17:39:20",,,"1",,2022-05-13 16:53:17.000,2022-05-13 18:25:08.000,
124,1,43,2022-05-13,,"17:57:43","18:40:17",,,"1",,2022-05-13 17:57:43.000,2022-05-13 18:40:17.000,
125,1,44,2022-05-13,,"17:57:47","18:40:12",,,"1",,2022-05-13 17:57:47.000,2022-05-13 18:40:12.000,
126,1,46,2022-05-14,,"16:03:15","16:44:32",,,"1",,2022-05-14 16:03:15.000,2022-05-14 16:44:32.000,
127,1,22,2022-05-14,,"17:02:00","18:21:24",,,"1",,2022-05-14 17:02:00.000,2022-05-14 18:21:24.000,
128,1,27,2022-05-14,,"17:02:05","18:21:15",,,"1",,2022-05-14 17:02:05.000,2022-05-14 18:21:15.000,
129,1,21,2022-05-14,,"17:02:09","18:21:32",,,"1",,2022-05-14 17:02:09.000,2022-05-14 18:21:32.000,
130,1,26,2022-05-14,,"17:42:53","18:21:29",,,"1",,2022-05-14 17:42:53.000,2022-05-14 18:21:29.000,
131,1,4,2022-05-16,,"16:48:27","17:31:39",,,"1",,2022-05-16 16:48:27.000,2022-05-16 17:31:39.000,
132,1,2,2022-05-16,,"16:55:41","17:33:19",,,"1",,2022-05-16 16:55:41.000,2022-05-16 17:33:19.000,
133,1,7,2022-05-16,,"16:56:09","17:32:02",,,"1",,2022-05-16 16:56:09.000,2022-05-16 17:32:02.000,
134,1,11,2022-05-16,,"17:59:47","18:43:03",,,"1",,2022-05-16 17:59:47.000,2022-05-16 18:43:03.000,
135,1,12,2022-05-16,,"18:00:11","18:43:06",,,"1",,2022-05-16 18:00:11.000,2022-05-16 18:43:06.000,
136,1,36,2022-05-17,,"17:55:23","18:35:55",,,"1",,2022-05-17 17:55:23.000,2022-05-17 18:35:55.000,
137,1,1,2022-05-17,,"19:20:09","20:10:35",,,"1",,2022-05-17 19:20:09.000,2022-05-17 20:10:35.000,
